chromosome,gccontent,atgcratio
A,0.3156264888041925,1.6966037735849056
A,0.30705097665555026,1.73933281613654
A,0.09218675559790376,1.550387596899225
A,0.20176274416388756,1.2774498229043683
A,0.055264411624583135,1.5732758620689655
A,0.07694140066698428,1.414860681114551
A,0.12982372558361124,1.7192660550458716
A,0.19032872796569794,1.3992490613266584
A,0.137446403049071,1.0537261698440208
A,0.13244402096236302,0.9586330935251799
A,0.17389232968080037,1.6136986301369862
A,0.37708432586946167,1.5716993051168666
A,0.08813720819437827,1.6432432432432433
A,0.32825154835636017,1.4644412191582004
A,0.13172939494997618,0.8119349005424955
A,0.27346355407336825,1.1898954703832754
A,0.16960457360647926,1.1825842696629214
A,0.24130538351595998,1.2477788746298124
A,0.3804192472606003,1.6975579211020664
A,0.092663172939495,1.3676092544987146
A,0.3639828489757027,1.662303664921466
A,0.07193901858027632,1.6026490066225165
A,0.16079085278704144,1.3511111111111112
A,0.21796093377798953,1.4950819672131148
A,0.12291567413053835,1.2093023255813953
A,0.05169128156264888,1.4055299539170507
A,0.14101953311100524,1.3513513513513513
A,0.07979990471653169,1.5970149253731343
A,0.2960933777989519,1.420756234915527
A,0.11553120533587423,1.288659793814433
A,0.07503573130061934,1.5523809523809524
A,0.16531681753215818,1.1657060518731988
A,0.10242972844211529,0.8837209302325582
A,0.17055740828966173,1.4343575418994414
A,0.23773225345402574,1.5701402805611222
A,0.1474511672224869,1.0161550888529887
A,0.2584564078132444,1.1732718894009218
A,0.06098141972367794,1.0859375
A,0.03739876131491186,1.1210191082802548
A,0.04097189137684612,1.0755813953488371
A,0.16245831348261078,1.7404692082111437
A,0.18913768461171987,1.5050377833753148
A,0.07384468794664126,1.3903225806451613
A,0.28299190090519294,1.6843434343434343
A,0.23511195807527394,1.3829787234042554
A,0.2315388280133397,1.2037037037037037
A,0.0547879942829919,1.3608695652173912
A,0.24059075750357314,1.5188118811881188
A,0.1560266793711291,1.3038167938931298
A,0.061219628394473556,1.4863813229571985
A,0.12339209147212958,1.218146718146718
A,0.1445926631729395,1.0658978583196046
A,0.062172463077656025,1.528735632183908
A,0.15245354930919486,1.53125
A,0.1222010481181515,1.4970760233918128
A,0.1755597903763697,1.5318860244233379
A,0.09504525964745117,1.3082706766917294
A,0.12243925678894711,1.5447470817120623
A,0.27941877084325867,1.4936061381074168
A,0.017627441638875654,1.2702702702702702
B,0.6329204383039543,1.8159578471960858
B,0.25154835636017153,1.7755681818181819
B,0.052644116245831346,0.9819004524886877
B,0.3856598380181039,1.3069796170475603
B,0.2374940447832301,1.530591775325978
B,0.18413530252501192,1.6274256144890038
B,0.07646498332539305,1.6261682242990654
B,0.23368270605050023,1.3241590214067278
B,0.1391138637446403,1.023972602739726
B,0.11576941400666985,1.1851851851851851
B,0.43997141495950454,1.566323768272875
B,0.04025726536445927,1.8224852071005917
B,0.3296808003811339,1.4580924855491328
B,0.2484516436398285,1.4995206136145733
B,0.18937589328251547,1.5849056603773586
B,0.027155788470700333,1.5
B,0.10219151977131967,1.6363636363636365
B,0.09790376369699857,1.3284671532846715
B,0.09647451167222487,1.511111111111111
B,0.126250595521677,1.1622641509433962
B,0.11862791805621725,1.0843373493975903
B,0.3825631252977608,1.8281444582814446
B,0.19890424011434016,1.5365269461077844
B,0.27560743211052885,1.6603284356093344
B,0.06598380181038589,1.523465703971119
B,0.40828966174368747,1.4189031505250875
B,0.038828013339685566,1.5582822085889572
B,0.092663172939495,1.557840616966581
B,0.1867555979037637,1.5599489795918366
B,0.21081467365412102,1.8203389830508474
B,0.1560266793711291,1.4091603053435116
B,0.12124821343496903,1.469548133595285
B,0.13030014292520248,1.5722120658135283
B,0.06526917579799904,1.354014598540146
B,0.13387327298713672,1.2633451957295374
B,0.19580752739399715,1.5437956204379562
B,0.2872796569795141,1.7661691542288558
B,0.07813244402096237,1.396341463414634
B,0.3058599333015722,1.47196261682243
B,0.18342067651262506,1.6844155844155844
B,0.10052405907575036,1.5308056872037914
B,0.12482134349690328,1.4618320610687023
B,0.02644116245831348,1.2432432432432432
B,0.06264888041924727,1.2927756653992395
B,0.09671272034302049,1.6305418719211822
B,0.19318723201524535,1.404438964241677
B,0.29847546450690804,1.5690343176376695
B,0.03358742258218199,1.5106382978723405
B,0.11815150071462602,1.2318548387096775
B,0.15697951405431157,1.0895295902883155
B,0.20152453549309196,1.6914893617021276
B,0.28037160552644114,1.5004248088360237
B,0.137446403049071,1.4280762564991334
B,0.08766079085278704,1.4945652173913044
B,0.7131967603620771,1.7935871743486973
B,0.13816102906145783,1.6379310344827587
B,0.04978561219628395,1.555023923444976
B,0.1307765602667937,1.3060109289617485
B,0.041448308718437354,1.2586206896551724
B,0.07003334921391138,1.2551020408163265
B,0.08361124344926155,1.3162393162393162
B,0.1977131967603621,1.6349397590361445
B,0.12720343020485947,1.5898876404494382
B,0.33087184373511197,1.4146868250539957
B,0.06908051453072891,1.2344827586206897
B,0.13816102906145783,1.5189655172413794
B,0.25750357313006195,1.5698427382053655
B,0.31943782753692235,1.5771812080536913
B,0.2813244402096236,1.5681625740897545
B,0.052644116245831346,1.6742081447963801
B,0.13720819437827536,1.46875
B,0.10624106717484516,1.9192825112107623
B,0.0717008099094807,1.132890365448505
B,0.14506908051453074,1.4532019704433496
B,0.03168175321581706,1.3458646616541354
B,0.042401143401619816,1.3089887640449438
B,0.08766079085278704,1.3478260869565217
B,0.056931872320152455,1.5606694560669456
B,0.17794187708432588,1.4016064257028114
B,0.046688899475940925,0.9744897959183674
B,0.2558361124344926,1.5670391061452513
B,0.10052405907575036,1.6090047393364928
B,0.20104811815150073,1.4881516587677726
B,0.15674130538351597,1.411854103343465
B,0.18080038113387328,1.5059288537549407
B,0.048356360171510245,1.6305418719211822
B,0.32634587898999523,1.5532846715328468
B,0.08623153882801333,1.5027624309392265
B,0.11171986660314435,1.5266524520255864
B,0.10528823249166269,1.585972850678733
B,0.14363982848975704,1.6169154228855722
B,0.12601238685088137,1.5973534971644612
B,0.15983801810385898,1.472429210134128
B,0.12482134349690328,1.0782442748091603
B,0.2541686517389233,1.5866916588566073
B,0.10123868508813721,1.463529411764706
B,0.07098618389709385,1.3053691275167785
B,0.12744163887565507,1.3046728971962618
